hidden_layer_sizes,activation,learning_rate_init,alpha,max_iter,fitness
"(8,)",tanh,0.1,1.363186319710052,1500,0.8692711824069095
"(8,)",tanh,0.1,0.44810314856461125,1500,0.8705153975941385
"(8,)",tanh,0.03392885314252205,0.881773506373162,1500,0.8875669490433518
"(8,)",tanh,0.021749197321191623,12.27767861141822,1000,0.8488963437888237
"(8,)",tanh,0.012179999409335764,1.241072308096868,1500,0.885866783629576
"(8,)",tanh,0.0038142287689573286,6.405237335498097,1500,0.8524466731247198
"(8,)",tanh,0.03392885314252205,0.881773506373162,1500,0.8875669490433518
"(8,)",tanh,0.042777906723190186,0.20027608791486431,1000,0.888172006764963
"(8,)",tanh,0.012439199922540516,2.8259127343149464,1000,0.8722801174923356
"(8,)",tanh,0.1,3.172268015165003,1500,0.8646584446577448
"(8,)",tanh,0.01768704998647772,0.03331979954930163,1500,0.8745192153109687
"(8,)",tanh,0.042777906723190186,0.20027608791486431,1000,0.888172006764963
"(8,)",tanh,0.021080113990893486,0.7738699448758674,1000,0.8867896749325821
"(8,)",tanh,0.034985632887082424,2.839035405556392,1500,0.8798509900667
"(8,)",tanh,0.04089645834489357,0.05967131242138439,1500,0.8914451287641956
"(8,)",tanh,0.042777906723190186,0.20027608791486431,1000,0.888172006764963
"(8,)",tanh,0.03887044691335912,0.1627214328583985,1500,0.8861728269967253
"(8,)",tanh,0.1,0.22850872548371157,1500,0.884408967679731
"(8,)",tanh,0.04089645834489357,0.05967131242138439,1500,0.8914451287641956
"(8,)",tanh,0.1,0.5058239007546014,1000,0.8845667238144026
"(8,)",tanh,0.031330273475747676,0.08852151674923023,1000,0.8839224569695638
"(8,)",tanh,0.037940862449041324,0.17575936522420937,1500,0.8872583300907151
"(8,)",tanh,0.04089645834489357,0.05967131242138439,1500,0.8914451287641956
"(8,)",tanh,0.024157131350209284,0.08266002235420247,1500,0.8819537726592946
"(8,)",tanh,0.025364334492428798,0.12427786254871791,1000,0.8768319042752666
"(8,)",tanh,0.02839330783722043,0.16557466059984804,1500,0.8802256130325254
"(8,)",tanh,0.04089645834489357,0.05967131242138439,1500,0.8914451287641956
"(8,)",tanh,0.022045007116545483,0.06110827295236191,1000,0.8840266478838817
"(8,)",tanh,0.01864901080911792,0.08210431607172923,1500,0.8786616867942101
"(8,)",tanh,0.05154147631929786,0.08046334236829071,1500,0.8793605674471134
"(8,)",tanh,0.04089645834489357,0.05967131242138439,1500,0.8914451287641956
"(8,)",tanh,0.03562677319533058,0.09940781390808917,1500,0.8838111382932551
"(8,)",tanh,0.1,0.10679756581541527,1500,0.8789718171395255
"(8,)",tanh,0.053661943735777484,0.08143185039139399,1500,0.8741832999880614
"(8,)",tanh,0.04089645834489357,0.05967131242138439,1500,0.8914451287641956
"(8,)",tanh,0.046085482711690454,0.10367803530333727,1500,0.8774578299675303
"(8,)",tanh,0.03207589985043597,0.10901984869131505,1500,0.8773644064456615
"(8,)",tanh,0.029410425667723256,0.08243707031822742,1000,0.8776132904565971
"(8,)",tanh,0.04089645834489357,0.05967131242138439,1500,0.8914451287641956
"(8,)",tanh,0.0475136854742334,0.08252983197951147,1500,0.8806610617285383
"(8,)",tanh,0.037186850364016456,0.18073118642616492,1500,0.887226075319074
"(8,)",tanh,0.028288659802739907,0.038602657482652306,1500,0.8814530634111222
"(8,)",tanh,0.04089645834489357,0.05967131242138439,1500,0.8914451287641956
"(8,)",tanh,0.026896499265665223,0.04423361032471616,1500,0.874364198279503
"(8,)",tanh,0.027100437432110467,0.07684993588703332,1500,0.8823319367305367
"(8,)",tanh,0.03101385655101788,0.08401252608307573,1500,0.8865408130374058
"(8,)",tanh,0.04089645834489357,0.05967131242138439,1500,0.8914451287641956
"(8,)",tanh,0.02892516308979329,0.0886547286712589,1500,0.8737836965473736
"(8,)",tanh,0.03425826835532278,0.0886353291498062,1500,0.8871773764620491
"(8,)",tanh,0.026945318041679833,0.07058714217135383,1500,0.8759038137039521
"(8,)",tanh,0.04089645834489357,0.05967131242138439,1500,0.8914451287641956
